Time_odroid,Current_Time,Latitude,Latitude_direction,Longitude,Longitude_direction,Number_of_satellites
1522234714.27,12:58:18,49.125813,N,9.21667383333,E,06
1522234715.27,12:58:19,49.125815,N,9.216675,E,06
1522234716.27,12:58:20,49.1258176667,N,9.21667616667,E,06
1522234717.27,12:58:21,49.1258191667,N,9.216677,E,06
1522234718.27,12:58:22,49.1258211667,N,9.21667816667,E,06
1522234719.27,12:58:23,49.1258238333,N,9.2166805,E,06
1522234720.27,12:58:24,49.125825,N,9.21668133333,E,06
1522234721.27,12:58:25,49.1258266667,N,9.2166825,E,06
1522234722.27,12:58:26,49.125828,N,9.21668383333,E,06
1522234723.27,12:58:27,49.125835,N,9.21668833333,E,07
1522234724.27,12:58:28,49.1258408333,N,9.21669216667,E,07
1522234725.27,12:58:29,49.1258455,N,9.21669616667,E,07
1522234726.27,12:58:30,49.1258481667,N,9.21669916667,E,07
1522234727.27,12:58:31,49.1258515,N,9.21670183333,E,07
1522234728.27,12:58:32,49.1258553333,N,9.21670366667,E,07
1522234729.27,12:58:33,49.1258578333,N,9.21670583333,E,07
1522234730.27,12:58:34,49.1258598333,N,9.2167075,E,07
1522234731.27,12:58:35,49.1258618333,N,9.21670866667,E,07
1522234732.27,12:58:36,49.1258636667,N,9.21671,E,07
1522234733.27,12:58:37,49.1258646667,N,9.21671083333,E,07
1522234734.27,12:58:38,49.1258653333,N,9.21671133333,E,07
1522234735.27,12:58:39,49.125866,N,9.21671166667,E,07
1522234736.27,12:58:40,49.1258665,N,9.21671216667,E,07
1522234737.28,12:58:41,49.125867,N,9.21671266667,E,07
1522234738.27,12:58:42,49.1258676667,N,9.21671283333,E,07
1522234739.27,12:58:43,49.1258685,N,9.21671316667,E,07
1522234740.27,12:58:44,49.1258695,N,9.21671366667,E,07
1522234741.27,12:58:45,49.1258706667,N,9.21671383333,E,07
1522234742.27,12:58:46,49.1258718333,N,9.216714,E,07
1522234743.27,12:58:47,49.1258733333,N,9.21671383333,E,07
1522234744.27,12:58:48,49.1258748333,N,9.216714,E,07
1522234745.27,12:58:49,49.1258761667,N,9.21671416667,E,07
1522234746.27,12:58:50,49.1258776667,N,9.2167145,E,07
1522234747.27,12:58:51,49.1258806667,N,9.2167155,E,07
1522234748.27,12:58:52,49.1258821667,N,9.21671583333,E,07
1522234749.27,12:58:53,49.1258828333,N,9.21671966667,E,07
1522234750.27,12:58:54,49.1258855,N,9.216746,E,07
1522234751.27,12:58:55,49.1258926667,N,9.21679583333,E,07
1522234752.27,12:58:56,49.125903,N,9.21685083333,E,07
1522234753.27,12:58:57,49.1259176667,N,9.216914,E,07
1522234754.27,12:58:58,49.1259533333,N,9.21697533333,E,07
1522234755.27,12:58:59,49.1259978333,N,9.2170185,E,07
1522234756.27,12:59:00,49.1260641667,N,9.21702966667,E,07
1522234757.27,12:59:01,49.1261365,N,9.21702266667,E,07
1522234758.27,12:59:02,49.1262173333,N,9.217014,E,07
1522234759.27,12:59:03,49.1263036667,N,9.21700516667,E,07
1522234760.27,12:59:04,49.1263998333,N,9.21699616667,E,07
1522234761.27,12:59:05,49.1264973333,N,9.21698966667,E,07
1522234762.27,12:59:06,49.1265995,N,9.21698833333,E,07
1522234763.27,12:59:07,49.1266916667,N,9.21699033333,E,07
1522234764.27,12:59:08,49.12677,N,9.2169985,E,07
1522234765.27,12:59:09,49.126835,N,9.21701183333,E,07
1522234766.27,12:59:10,49.1268726667,N,9.217033,E,07
1522234767.27,12:59:11,49.1269031667,N,9.2170365,E,07
1522234768.27,12:59:12,49.1269218333,N,9.21703616667,E,07
1522234769.27,12:59:13,49.1269341667,N,9.21703633333,E,07
1522234770.27,12:59:14,49.1269381667,N,9.21703533333,E,07
1522234771.27,12:59:15,49.1269413333,N,9.21703316667,E,07
1522234772.27,12:59:16,49.1269471667,N,9.2170305,E,07
1522234773.28,12:59:17,49.126947,N,9.21703066667,E,07
1522234774.27,12:59:18,49.12695,N,9.21702866667,E,07
1522234775.27,12:59:19,49.1269576667,N,9.21702716667,E,07
1522234776.27,12:59:20,49.1269603333,N,9.21702583333,E,06
1522234777.28,12:59:21,49.1269625,N,9.217026,E,07
1522234778.27,12:59:22,49.1269615,N,9.21702716667,E,07
1522234779.27,12:59:23,49.1269711667,N,9.21702733333,E,07
1522234780.27,12:59:24,49.1270005,N,9.21702833333,E,07
1522234781.27,12:59:25,49.1270558333,N,9.217032,E,07
